Average,Highest Fitness,Lowest Fitness
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.669074487686157,6.69074487686157,0
0.66668004989624,6.6668004989624,0
1.33089504241943,6.68097400665283,0
1.99710378646851,6.68097400665283,0
1.97117910385132,6.7085542678833,0
4.64205284118652,6.68521690368652,0
2.6546199798584,6.68020534515381,0
5.52910671234131,10.9834327697754,0
5.31907863616943,6.70607280731201,0
5.55915465354919,29.0854835510254,0
5.47337913513184,28.4823207855225,0
8.98323764801025,28.697322845459,0
8.00674285888672,29.7783260345459,0
57.4732214450836,448.506408691406,0
12.3569145679474,75.7628707885742,0
48.4503806114197,449.338989257813,0
174.307092952728,449.338989257813,0
202.1379550457,447.734832763672,0
50.8873824596405,266.687850952148,0
25.628938293457,256.28938293457,0
238.498917770386,621.862869262695,0
214.460084819794,421.055206298828,0
91.7591567993164,268.307968139648,0
132.841843414307,449.891967773438,0
64.3637881278992,409.806457519531,0
204.2547706604,410.340301513672,0
261.830114746094,448.411224365234,0
120.621786499023,452.935852050781,0
204.826073551178,452.780364990234,0
148.278469085693,420.366546630859,0
266.755976104736,496.884857177734,0
